"Designator","Device","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Pins","Layer","Rotation","SMD","Comment","Name"
"C1","CAP_0603","C0603","-11.307mm","-24.902mm","-11.307mm","-24.902mm","-12.007mm","-24.902mm","2","T","0","Yes","10uF","10uF"
"C2","CAP_0603","C0603","-8.205mm","-24.866mm","-8.205mm","-24.866mm","-7.505mm","-24.866mm","2","T","180","Yes","10uF","10uF"
"C3","CAP_0603","C0603","0.032mm","8.494mm","0.032mm","8.494mm","0.732mm","8.494mm","2","T","180","Yes","100nF","100nF"
"C4","CAP_0603","C0603","-6.632mm","-4.28mm","-6.632mm","-4.28mm","-7.332mm","-4.28mm","2","T","0","Yes","100nF","100nF"
"C5","CAP_0603","C0603","-6.622mm","1.562mm","-6.622mm","1.562mm","-5.922mm","1.562mm","2","T","180","Yes","100nF","100nF"
"C6","CAP_0603","C0603","-9.025mm","10.691mm","-9.025mm","10.691mm","-9.725mm","10.691mm","2","T","0","Yes","0.1uF","0.1uF"
"C7","CAP_0603","C0603","9.009mm","10.691mm","9.009mm","10.691mm","8.309mm","10.691mm","2","T","0","Yes","10uF","10uF"
"C8","CAP_0603","C0603","-11.38mm","-26.749mm","-11.38mm","-26.749mm","-10.68mm","-26.749mm","2","T","180","Yes","0.1uF","0.1uF"
"C9","CAP_0603","C0603","2.794mm","-15.367mm","2.794mm","-15.367mm","2.794mm","-16.067mm","2","T","90","Yes","0.1uF","0.1uF"
"C10","CAP_0603","C0603","4.064mm","8.382mm","4.064mm","8.382mm","3.364mm","8.382mm","2","T","0","Yes","0.1uF","0.1uF"
"C11","CAP_0603","C0603","4.064mm","-4.699mm","4.064mm","-4.699mm","3.364mm","-4.699mm","2","T","0","Yes","1uF","1uF"
"C12","CAP_0603","C0603","-2.413mm","-14.351mm","-2.413mm","-14.351mm","-2.413mm","-13.651mm","2","T","270","Yes","0.1uF","0.1uF"
"C13","CAP_0603","C0603","-9.167mm","-14.346mm","-9.167mm","-14.346mm","-9.167mm","-15.046mm","2","T","90","Yes","1uF","1uF"
"D1","PESD5V0S1BA,115","SOD-323_L1.7-W1.3-LS2.5-BI","3.305mm","-27.341mm","3.305mm","-27.341mm","3.305mm","-26.136mm","2","T","270","Yes","PESD5V0S1BA,115","PESD5V0S1BA,115"
"D2","USBLC6-2SC6_C2827654","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","-5.334mm","-21.844mm","-5.334mm","-21.844mm","-6.284mm","-22.993mm","6","T","0","Yes","USBLC6-2SC6","USBLC6-2SC6"
"F1","SMD1812P260TF/16_C438899","F1812","0mm","-22.098mm","0mm","-22.098mm","-1.853mm","-22.098mm","2","T","0","Yes","500mA","500mA"
"LED1","XL-1608SURC-06","LED0603-RD_RED","-9.779mm","-22.352mm","-9.779mm","-22.352mm","-10.528mm","-22.355mm","2","T","0","Yes","XL-1608SURC-06","XL-1608SURC-06"
"R1","Res_0603","R0603","-5.678mm","-33.866mm","-5.678mm","-33.866mm","-5.678mm","-34.62mm","2","T","90","Yes","5.1K","5.1K"
"R2","Res_0603","R0603","-0.098mm","-25.659mm","-0.098mm","-25.659mm","-0.852mm","-25.659mm","2","T","0","Yes","5.1K","5.1K"
"R3","Res_0603","R0603","-11.574mm","28.814mm","-11.574mm","28.814mm","-11.574mm","29.568mm","2","T","270","Yes","10K","10K"
"R4","Res_0603","R0603","11.041mm","23.645mm","11.041mm","23.645mm","11.041mm","24.399mm","2","T","270","Yes","4.7K","4.7K"
"R5","Res_0603","R0603","11.066mm","28.991mm","11.066mm","28.991mm","11.066mm","28.238mm","2","T","90","Yes","4.7K","4.7K"
"R6","Res_0603","R0603","-9.779mm","-19.431mm","-9.779mm","-19.431mm","-10.532mm","-19.431mm","2","T","0","Yes","1K","1K"
"SW1","SPEH110100","SW-SMD_L6.0-W6.0-LS6.6","9.933mm","-32.474mm","9.933mm","-32.474mm","9.933mm","-35.666mm","2","T","90","Yes","SPEH110100","SPEH110100"
"SW2","SPEH110100","SW-SMD_L6.0-W6.0-LS6.6","-9.92mm","-32.271mm","-9.92mm","-32.271mm","-9.92mm","-35.464mm","2","T","90","Yes","SPEH110100","SPEH110100"
"U1","ESP32-WROOM-32-N4","WIFIM-SMD_ESP32-WROOM-32-N4","-0.008mm","21.74mm","-0.008mm","21.74mm","-9.008mm","30.745mm","39","T","0","Yes","2.4GHz","2.4GHz"
"U2","USB-TYPE-C-017","USB-TYPE-C-SMD_C9900008089","-0.014mm","-33.287mm","-0.014mm","-33.287mm","-4.334mm","-31.486mm","16","T","0","No","USB-TYPE-C-017","USB-TYPE-C-017"
"U3","AMS1117-3.3_C6186","SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR","9.909mm","-23.785mm","9.909mm","-23.785mm","6.939mm","-21.485mm","4","T","180","Yes","AMS1117-3.3","AMS1117-3.3"
"U4","CH340C","SOP-16_L10.0-W3.9-P1.27-LS6.0-BL","9.144mm","-15.494mm","9.144mm","-15.494mm","4.699mm","-18.366mm","16","T","0","Yes","CH340C","CH340C"
"U5","SCD41-D-R1","SENSOR-SMD_SCD41-D-R1","5.985mm","1.83mm","5.985mm","1.83mm","1.985mm","4.33mm","21","T","0","Yes","SCD41-D-R1","SCD41-D-R1"
